metric,value
matched_emitter_budgets[1].sobol.n_emitters,262144
matched_emitter_budgets[1].sobol.seed,101
matched_emitter_budgets[1].sobol.resolution[0],256
matched_emitter_budgets[1].sobol.resolution[1],256
matched_emitter_budgets[1].sobol.views,4
matched_emitter_budgets[1].sobol.emitter_chunk_size,8192
matched_emitter_budgets[1].sobol.camera_block_size,4
matched_emitter_budgets[1].sobol.source_mass,9.088634202953163
matched_emitter_budgets[1].sobol.foreground_energy,136352.046875
matched_emitter_budgets[1].sobol.whole_image_mse,0.4928632179896037
matched_emitter_budgets[1].sobol.foreground_mse,2.0227931796449243
matched_emitter_budgets[1].sobol.interior_gt8px_mse,0.013532251119613647
matched_emitter_budgets[1].sobol.silhouette_0_8px_mse,1.3122860168774229
matched_emitter_budgets[1].sobol.total_image_energy,158381.380859375
matched_emitter_budgets[1].sobol.foreground_mean_brightness,0.7692292647757788
matched_emitter_budgets[1].sobol.edge_sharpness,0.10457607825888673
matched_emitter_budgets[1].sobol.reference_edge_sharpness,0.7208442552609092
matched_emitter_budgets[1].sobol.edge_sharpness_ratio,0.14507444221919405
matched_emitter_budgets[1].sobol.thin_feature_response_ratio,0.04686869856635464
matched_emitter_budgets[1].sobol.geodesic_construction_seconds,0.6885329734068364
matched_emitter_budgets[1].sobol.sparse_geo_extraction_seconds,0.0
matched_emitter_budgets[1].sobol.source_evaluation_seconds,0.006962890736758709
matched_emitter_budgets[1].sobol.finite_transport_seconds,5.220189193496481
matched_emitter_budgets[1].sobol.detector_seconds,0.11074631777592003
matched_emitter_budgets[1].sobol.detector_seconds_per_view,0.02768657944398001
matched_emitter_budgets[1].sobol.runtime_seconds,6.534841438988224
matched_emitter_budgets[1].sobol.emitters_per_second,380728.31676153565
matched_emitter_budgets[1].sobol.packets_per_second,200869.34805090164
matched_emitter_budgets[1].sobol.interactions_per_second,40698013.06525064
matched_emitter_budgets[1].sobol.detector_writes_per_second,151492314.47989443
matched_emitter_budgets[1].sobol.attempted_packets,1048576
matched_emitter_budgets[1].sobol.interaction_evaluations,212451328
matched_emitter_budgets[1].sobol.detector_writes,16777216
matched_emitter_budgets[1].sobol.peak_cuda_allocated_mib,728.44677734375
matched_emitter_budgets[1].sobol.peak_cuda_reserved_mib,796.0
matched_emitter_budgets[1].sobol.cpu_rss_mib,4965.28125
matched_emitter_budgets[1].sobol.mapping_residual_p95,4.3398054519101026e-05
