metric,value
center_bank.reference_pool_ids[245],393
center_bank.reference_pool_ids[246],3361
center_bank.reference_pool_ids[247],3239
center_bank.reference_pool_ids[248],2312
center_bank.reference_pool_ids[249],344
center_bank.reference_pool_ids[250],3949
center_bank.reference_pool_ids[251],109
center_bank.reference_pool_ids[252],1751
center_bank.reference_pool_ids[253],1778
center_bank.reference_pool_ids[254],2942
center_bank.reference_pool_ids[255],3500
center_bank.reference_pool_ids[256],2549
center_bank.reference_pool_ids[257],2561
center_bank.reference_pool_ids[258],3440
center_bank.reference_pool_ids[259],2194
center_bank.reference_pool_ids[260],3786
center_bank.reference_pool_ids[261],3391
center_bank.reference_pool_ids[262],2195
center_bank.reference_pool_ids[263],367
center_bank.reference_pool_ids[264],1298
center_bank.reference_pool_ids[265],3454
center_bank.reference_pool_ids[266],3264
center_bank.reference_pool_ids[267],1158
center_bank.reference_pool_ids[268],2519
center_bank.reference_pool_ids[269],2216
center_bank.reference_pool_ids[270],2738
center_bank.reference_pool_ids[271],2203
center_bank.reference_pool_ids[272],137
center_bank.reference_pool_ids[273],3679
center_bank.reference_pool_ids[274],2857
center_bank.reference_pool_ids[275],71
center_bank.reference_pool_ids[276],1459
center_bank.reference_pool_ids[277],1287
center_bank.reference_pool_ids[278],858
center_bank.reference_pool_ids[279],3077
center_bank.reference_pool_ids[280],3366
center_bank.reference_pool_ids[281],2397
center_bank.reference_pool_ids[282],1276
center_bank.reference_pool_ids[283],1747
center_bank.reference_pool_ids[284],1441
center_bank.reference_pool_ids[285],1048
center_bank.reference_pool_ids[286],3689
center_bank.reference_pool_ids[287],3072
center_bank.reference_pool_ids[288],1353
center_bank.reference_pool_ids[289],3401
center_bank.reference_pool_ids[290],1008
center_bank.reference_pool_ids[291],1841
center_bank.reference_pool_ids[292],3035
center_bank.reference_pool_ids[293],3543
center_bank.reference_pool_ids[294],1290
center_bank.reference_pool_ids[295],1687
center_bank.reference_pool_ids[296],2701
center_bank.reference_pool_ids[297],3245
center_bank.reference_pool_ids[298],500
center_bank.reference_pool_ids[299],2662
center_bank.reference_pool_ids[300],2385
center_bank.reference_pool_ids[301],779
center_bank.reference_pool_ids[302],379
center_bank.reference_pool_ids[303],2336
center_bank.reference_pool_ids[304],3170
center_bank.reference_pool_ids[305],1337
center_bank.reference_pool_ids[306],2352
center_bank.reference_pool_ids[307],3585
center_bank.reference_pool_ids[308],993
center_bank.reference_pool_ids[309],1086
