above_one_rgb_scalars,affected_pixel_fraction,affected_rgb_scalar_fraction,attempted_packets,below_zero_rgb_scalars,category,chunk_size,clamp_affected_frozen_fd_change_fraction,clamp_affected_full_fd_change_fraction,clamp_affected_jacobian_entry_fraction,common_support_mse,comparison,continuous_detector_writes,cpu_peak_rss_mib,current_image_energy,emitters,epsilon,estimator,events_per_second,foreground_self_mse,fraction_self_sse_from_support_xor,hard_bin_writes,independent_self_mse,interior_mse,interior_self_mse,mae,mean_contribution_count,mean_detector_weight,mean_foreground_brightness,mse,mse_vs_8N,packets_per_second,parameter,peak_allocated_mib,peak_reserved_mib,regions,resolution,retained_events,rmse,rmse_vs_8N,runtime_seconds,sample_realization_gradient,sample_set,scale_normalized_self_rmse,scale_normalized_whole_image_self_mse,scientific_mc_measurement_clamped,section,seed,self_mse,silhouette_0_8px_self_mse,silhouette_mse,silhouette_regions,support_switch_scalar_fraction,support_xor_fraction,support_xor_pixel_fraction,support_xor_sse_fraction,switch_pixel_mse,target_image_energy,target_mean_square,threshold,topology_component_fraction_of_full_norm,total_image_energy,visibility_switch_fraction,whole_image_self_mse,whole_image_self_sse
,,,,,,,,,,,,,,,131072,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,6.0617980731573574e-05,,,,,,0.5891689117949149,,0.00012170858875227471,,,,,,,,,0.01103216156300635,,,,,,,convergence,307,,,,,,,,,,,,,,440051.501953125,,,
,,,,,,,,,,,,,,,131072,,UNGATED_NORMALIZED_SPLAT,,,,,0.00010348077315332678,,,,,,0.5825058730154866,,4.824559788782305e-05,,,,,,,,,0.00694590511652895,,,,,,,convergence,307,,,,,,,,,,,,,,443904.1572265625,,,
,,,,,,,,,,,,,,,131072,,HARD_BIN_MONTE_CARLO,,,,,0.07209282045563062,,,,,,0.8540245042201928,,0.018992056449254353,,,,,,,,,0.137811670221554,,,,,,,convergence,307,,,,,,,,,,,,,,1196794.00390625,,,
,,,,,,,,,,,,,,,131072,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.007377536098162333,,,,,,0.7910253339164092,,0.001963213823425273,,,,,,,,,0.044308168811464925,,,,,,,convergence,307,,,,,,,,,,,,,,949859.63671875,,,
,,,,,,,,,,,,,,,262144,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,3.673589611328983e-05,,,,,,0.5903150048658578,,0.0,,,,,,,,,0.0,,,,,,,convergence,307,,,,,,,,,,,,,,440510.955078125,,,
,,,,,,,,,,,,,,,262144,,UNGATED_NORMALIZED_SPLAT,,,,,6.883956763582925e-05,,,,,,0.5828173071306176,,0.0,,,,,,,,,0.0,,,,,,,convergence,307,,,,,,,,,,,,,,443983.66015625,,,
,,,,,,,,,,,,,,,262144,,HARD_BIN_MONTE_CARLO,,,,,0.033323172852396964,,,,,,0.854039490202715,,0.0,,,,,,,,,0.0,,,,,,,convergence,307,,,,,,,,,,,,,,1122443.73828125,,,
,,,,,,,,,,,,,,,262144,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.003179170237854123,,,,,,0.7910391873772187,,0.0,,,,,,,,,0.0,,,,,,,convergence,307,,,,,,,,,,,,,,942211.60546875,,,
,,,,,,,,,,,,,,,32768,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.0035700691243012745,,,,,,0.5789935507671616,,0.0019443190501381954,,,,,,,,,0.04409443332369967,,,,,,,convergence,401,,,,,,,,,,,,,,432913.5615234375,,,
,,,,,,,,,,,,,,,32768,,UNGATED_NORMALIZED_SPLAT,,,,,0.0003436339126589398,,,,,,0.5811175313307041,,0.00027336253454753506,,,,,,,,,0.016533678796551453,,,,,,,convergence,401,,,,,,,,,,,,,,443499.0869140625,,,
,,,,,,,,,,,,,,,32768,,HARD_BIN_MONTE_CARLO,,,,,0.43651771247386933,,,,,,0.8557529280909939,,0.1924880733092626,,,,,,,,,0.4387346274335576,,,,,,,convergence,401,,,,,,,,,,,,,,1885400.51953125,,,
,,,,,,,,,,,,,,,32768,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.07039206574360529,,,,,,0.7909857632776583,,0.030499436582128208,,,,,,,,,0.17464087889760577,,,,,,,convergence,401,,,,,,,,,,,,,,1063050.9609375,,,
,,,,,,,,,,,,,,,65536,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.00013737528618851987,,,,,,0.5876189606008118,,0.00029656763654202224,,,,,,,,,0.017221139234731894,,,,,,,convergence,401,,,,,,,,,,,,,,439365.90625,,,
,,,,,,,,,,,,,,,65536,,UNGATED_NORMALIZED_SPLAT,,,,,0.0001724127757673462,,,,,,0.5819892667781161,,0.00012675176379464876,,,,,,,,,0.011258408581795597,,,,,,,convergence,401,,,,,,,,,,,,,,443743.8955078125,,,
,,,,,,,,,,,,,,,65536,,HARD_BIN_MONTE_CARLO,,,,,0.17107475847005843,,,,,,0.8560188515151133,,0.0703371246655782,,,,,,,,,0.26521147159498626,,,,,,,convergence,401,,,,,,,,,,,,,,1406456.24609375,,,
,,,,,,,,,,,,,,,65536,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.021798884371916454,,,,,,0.7912315739684159,,0.010042661149054766,,,,,,,,,0.10021307873254252,,,,,,,convergence,401,,,,,,,,,,,,,,983228.70703125,,,
,,,,,,,,,,,,,,,131072,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,6.164063027730056e-05,,,,,,0.5891735358250463,,0.00011981285739845285,,,,,,,,,0.010945905965174963,,,,,,,convergence,401,,,,,,,,,,,,,,440043.076171875,,,
,,,,,,,,,,,,,,,131072,,UNGATED_NORMALIZED_SPLAT,,,,,0.00010135680422536097,,,,,,0.5825170836232622,,4.488546013211211e-05,,,,,,,,,0.0066996611953226495,,,,,,,convergence,401,,,,,,,,,,,,,,443882.2021484375,,,
,,,,,,,,,,,,,,,131072,,HARD_BIN_MONTE_CARLO,,,,,0.07422572647531828,,,,,,0.855901635413331,,0.01907167360186577,,,,,,,,,0.13810023027448495,,,,,,,convergence,401,,,,,,,,,,,,,,1204739.5078125,,,
,,,,,,,,,,,,,,,131072,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.007956696270654599,,,,,,0.7911232326782672,,0.002104771005300184,,,,,,,,,0.04587778335207777,,,,,,,convergence,401,,,,,,,,,,,,,,952020.037109375,,,
,,,,,,,,,,,,,,,262144,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,3.574949975397127e-05,,,,,,0.590302847648139,,0.0,,,,,,,,,0.0,,,,,,,convergence,401,,,,,,,,,,,,,,440496.861328125,,,
,,,,,,,,,,,,,,,262144,,UNGATED_NORMALIZED_SPLAT,,,,,6.928284771371788e-05,,,,,,0.5828132751944903,,0.0,,,,,,,,,0.0,,,,,,,convergence,401,,,,,,,,,,,,,,443952.8662109375,,,
,,,,,,,,,,,,,,,262144,,HARD_BIN_MONTE_CARLO,,,,,0.03508938836554686,,,,,,0.8557902823111481,,0.0,,,,,,,,,0.0,,,,,,,convergence,401,,,,,,,,,,,,,,1129857.48046875,,,
,,,,,,,,,,,,,,,262144,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.003583902462075154,,,,,,0.7910203275535805,,0.0,,,,,,,,,0.0,,,,,,,convergence,401,,,,,,,,,,,,,,943519.806640625,,,
,,,,,,,,,,,,,,,32768,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.00378997892451783,,,,,,0.5778164062639003,,0.002182283900522937,,,,,,,,,0.04671492160458944,,,,,,,convergence,503,,,,,,,,,,,,,,431907.53515625,,,
,,,,,,,,,,,,,,,32768,,UNGATED_NORMALIZED_SPLAT,,,,,0.0003534627050006141,,,,,,0.5810431473248091,,0.00027652256782554713,,,,,,,,,0.016628967731809066,,,,,,,convergence,503,,,,,,,,,,,,,,443423.3359375,,,
,,,,,,,,,,,,,,,32768,,HARD_BIN_MONTE_CARLO,,,,,0.44213293691476185,,,,,,0.8540361750765318,,0.2021705557902654,,,,,,,,,0.44963380187688895,,,,,,,convergence,503,,,,,,,,,,,,,,1919585.3125,,,
,,,,,,,,,,,,,,,32768,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.0731142612795035,,,,,,0.7909305429350295,,0.03413898336390654,,,,,,,,,0.18476737635174273,,,,,,,convergence,503,,,,,,,,,,,,,,1076200.73828125,,,
,,,,,,,,,,,,,,,65536,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.00012518616058514452,,,,,,0.5876299873184732,,0.00029005357258332274,,,,,,,,,0.017030959238496308,,,,,,,convergence,503,,,,,,,,,,,,,,439383.08984375,,,
,,,,,,,,,,,,,,,65536,,UNGATED_NORMALIZED_SPLAT,,,,,0.0001641647065601622,,,,,,0.5819863840299864,,0.0001244610563541452,,,,,,,,,0.011156211559223193,,,,,,,convergence,503,,,,,,,,,,,,,,443739.4912109375,,,
,,,,,,,,,,,,,,,65536,,HARD_BIN_MONTE_CARLO,,,,,0.16597743779420854,,,,,,0.8540257172062212,,0.06792073075970013,,,,,,,,,0.26061606005712723,,,,,,,convergence,503,,,,,,,,,,,,,,1389954.30078125,,,
,,,,,,,,,,,,,,,65536,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.020135391938189664,,,,,,0.7909208240031588,,0.009036484671135743,,,,,,,,,0.09506042641991326,,,,,,,convergence,503,,,,,,,,,,,,,,977493.7109375,,,
,,,,,,,,,,,,,,,131072,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,6.119661738921423e-05,,,,,,0.5891520047632456,,0.00012041710506309755,,,,,,,,,0.010973472789554706,,,,,,,convergence,503,,,,,,,,,,,,,,440036.9833984375,,,
,,,,,,,,,,,,,,,131072,,UNGATED_NORMALIZED_SPLAT,,,,,9.984902377861242e-05,,,,,,0.5824449452088878,,5.1272421114845204e-05,,,,,,,,,0.0071604763189919984,,,,,,,convergence,503,,,,,,,,,,,,,,443849.126953125,,,
,,,,,,,,,,,,,,,131072,,HARD_BIN_MONTE_CARLO,,,,,0.07256674220164618,,,,,,0.8541205315801548,,0.019612802440921465,,,,,,,,,0.14004571553932474,,,,,,,convergence,503,,,,,,,,,,,,,,1199448.8828125,,,
,,,,,,,,,,,,,,,131072,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.007643645846595367,,,,,,0.7910086425812942,,0.002283361282510062,,,,,,,,,0.04778452974038838,,,,,,,convergence,503,,,,,,,,,,,,,,951107.56640625,,,
,,,,,,,,,,,,,,,262144,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,3.4321821840421765e-05,,,,,,0.5902980119894029,,0.0,,,,,,,,,0.0,,,,,,,convergence,503,,,,,,,,,,,,,,440502.41796875,,,
,,,,,,,,,,,,,,,262144,,UNGATED_NORMALIZED_SPLAT,,,,,7.021863687744675e-05,,,,,,0.582804780632721,,0.0,,,,,,,,,0.0,,,,,,,convergence,503,,,,,,,,,,,,,,443965.1748046875,,,
,,,,,,,,,,,,,,,262144,,HARD_BIN_MONTE_CARLO,,,,,0.03321879108746847,,,,,,0.8540777583430517,,0.0,,,,,,,,,0.0,,,,,,,convergence,503,,,,,,,,,,,,,,1121119.08984375,,,
,,,,,,,,,,,,,,,262144,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.0031423628252620498,,,,,,0.790969036666234,,0.0,,,,,,,,,0.0,,,,,,,convergence,503,,,,,,,,,,,,,,941784.015625,,,
,,,,,,,,,,,,,,,32768,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.0035241596788788835,,,,,,0.5793214477244218,,0.0018632450373843312,,,,,,,,,0.04316532216240638,,,,,,,convergence,601,,,,,,,,,,,,,,433180.8857421875,,,
,,,,,,,,,,,,,,,32768,,UNGATED_NORMALIZED_SPLAT,,,,,0.0003312715726982181,,,,,,0.5810284343477287,,0.00027023517371465764,,,,,,,,,0.016438831275813304,,,,,,,convergence,601,,,,,,,,,,,,,,443430.44921875,,,
,,,,,,,,,,,,,,,32768,,HARD_BIN_MONTE_CARLO,,,,,0.4365783323844274,,,,,,0.8546578873267253,,0.19416183332602183,,,,,,,,,0.4406379844339589,,,,,,,convergence,601,,,,,,,,,,,,,,1880799.00390625,,,
,,,,,,,,,,,,,,,32768,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.07066580206155777,,,,,,0.7911241330712859,,0.030359633763631187,,,,,,,,,0.17424016116737032,,,,,,,convergence,601,,,,,,,,,,,,,,1060732.4609375,,,
,,,,,,,,,,,,,,,65536,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.0001329776311952931,,,,,,0.5876378571194247,,0.0002921002315512548,,,,,,,,,0.017090940042936632,,,,,,,convergence,601,,,,,,,,,,,,,,439364.9345703125,,,
,,,,,,,,,,,,,,,65536,,UNGATED_NORMALIZED_SPLAT,,,,,0.00016520889766979963,,,,,,0.5819652368103297,,0.0001235717162974955,,,,,,,,,0.011116281585921413,,,,,,,convergence,601,,,,,,,,,,,,,,443729.876953125,,,
,,,,,,,,,,,,,,,65536,,HARD_BIN_MONTE_CARLO,,,,,0.1693679392337799,,,,,,0.8548124914396928,,0.06989286144574483,,,,,,,,,0.2643725807373844,,,,,,,convergence,601,,,,,,,,,,,,,,1398023.7734375,,,
