metric,value
version,0.8.6
scope,fixed latent continuous zero-set source experiment; no novelty or physical-radiometry claim
plane_source_integral.rows[23].h_s,0.06250000000000001
plane_source_integral.rows[23].epsilon_over_h_s,0.03125
plane_source_integral.rows[23].epsilon_s,0.0019531250000000004
plane_source_integral.rows[23].continuous_mean_mass,3.999961191972359
plane_source_integral.rows[23].continuous_relative_bias,9.70200691019496e-06
plane_source_integral.rows[23].continuous_translation_cv,0.00020867623352660157
plane_source_integral.rows[23].continuous_max_adjacent_jump,0.0030235464740187012
plane_source_integral.rows[23].continuous_max_derivative_jump,0.3692677299213966
plane_source_integral.rows[23].hard_translation_cv,0.008141314362238623
plane_source_integral.rows[23].hard_max_adjacent_jump,0.125
plane_source_integral.selected.anchors,32768
plane_source_integral.selected.h_s,0.06250000000000001
plane_source_integral.selected.epsilon_over_h_s,0.25
plane_source_integral.selected.epsilon_s,0.015625000000000003
plane_source_integral.selected.continuous_mean_mass,3.9999999592084685
plane_source_integral.selected.continuous_relative_bias,1.0197882871487707e-08
plane_source_integral.selected.continuous_translation_cv,2.458270191588081e-07
plane_source_integral.selected.continuous_max_adjacent_jump,3.6930914033561635e-06
plane_source_integral.selected.continuous_max_derivative_jump,0.0004566230635418833
plane_source_integral.selected.hard_translation_cv,0.0012638641718074207
plane_source_integral.selected.hard_max_adjacent_jump,0.015625000000000444
plane_source_integral.scale_rows[0].field_scale,1.0
plane_source_integral.scale_rows[0].source_mass,4.000000072787246
plane_source_integral.scale_rows[0].absolute_error_vs_F,0.0
plane_source_integral.scale_rows[1].field_scale,0.5
plane_source_integral.scale_rows[1].source_mass,4.000000072787246
plane_source_integral.scale_rows[1].absolute_error_vs_F,0.0
plane_source_integral.scale_rows[2].field_scale,2.0
plane_source_integral.scale_rows[2].source_mass,4.000000072787246
plane_source_integral.scale_rows[2].absolute_error_vs_F,0.0
plane_source_integral.scale_rows[3].field_scale,10.0
plane_source_integral.scale_rows[3].source_mass,4.000000072787246
plane_source_integral.scale_rows[3].absolute_error_vs_F,0.0
plane_source_integral.maximum_scale_error,0.0
plane_source_integral.historical_maximum_source_count_jump,1024
plane_source_integral.plot.translation[0],-0.45
plane_source_integral.plot.translation[1],-0.445
plane_source_integral.plot.translation[2],-0.44
plane_source_integral.plot.translation[3],-0.435
plane_source_integral.plot.translation[4],-0.43
plane_source_integral.plot.translation[5],-0.425
plane_source_integral.plot.translation[6],-0.42000000000000004
plane_source_integral.plot.translation[7],-0.41500000000000004
plane_source_integral.plot.translation[8],-0.41000000000000003
plane_source_integral.plot.translation[9],-0.405
plane_source_integral.plot.translation[10],-0.4
plane_source_integral.plot.translation[11],-0.395
plane_source_integral.plot.translation[12],-0.39
plane_source_integral.plot.translation[13],-0.385
plane_source_integral.plot.translation[14],-0.38
plane_source_integral.plot.translation[15],-0.375
plane_source_integral.plot.translation[16],-0.37
plane_source_integral.plot.translation[17],-0.365
plane_source_integral.plot.translation[18],-0.36
plane_source_integral.plot.translation[19],-0.355
plane_source_integral.plot.translation[20],-0.35
plane_source_integral.plot.translation[21],-0.34500000000000003
plane_source_integral.plot.translation[22],-0.34
plane_source_integral.plot.translation[23],-0.335
plane_source_integral.plot.translation[24],-0.33
plane_source_integral.plot.translation[25],-0.325
plane_source_integral.plot.translation[26],-0.32
plane_source_integral.plot.translation[27],-0.315
plane_source_integral.plot.translation[28],-0.31
plane_source_integral.plot.translation[29],-0.30500000000000005
plane_source_integral.plot.translation[30],-0.30000000000000004
plane_source_integral.plot.translation[31],-0.29500000000000004
plane_source_integral.plot.translation[32],-0.29000000000000004
plane_source_integral.plot.translation[33],-0.28500000000000003
plane_source_integral.plot.translation[34],-0.28
plane_source_integral.plot.translation[35],-0.275
plane_source_integral.plot.translation[36],-0.27
plane_source_integral.plot.translation[37],-0.265
plane_source_integral.plot.translation[38],-0.26
plane_source_integral.plot.translation[39],-0.255
plane_source_integral.plot.translation[40],-0.25
plane_source_integral.plot.translation[41],-0.245
plane_source_integral.plot.translation[42],-0.24000000000000002
plane_source_integral.plot.translation[43],-0.23500000000000001
plane_source_integral.plot.translation[44],-0.23
plane_source_integral.plot.translation[45],-0.225
plane_source_integral.plot.translation[46],-0.22
plane_source_integral.plot.translation[47],-0.215
plane_source_integral.plot.translation[48],-0.21000000000000002
plane_source_integral.plot.translation[49],-0.20500000000000002
plane_source_integral.plot.translation[50],-0.2
plane_source_integral.plot.translation[51],-0.195
plane_source_integral.plot.translation[52],-0.19
plane_source_integral.plot.translation[53],-0.185
plane_source_integral.plot.translation[54],-0.18
plane_source_integral.plot.translation[55],-0.175
plane_source_integral.plot.translation[56],-0.16999999999999998
plane_source_integral.plot.translation[57],-0.16499999999999998
plane_source_integral.plot.translation[58],-0.16000000000000003
