candidate_id,control_label,target_source_id,center_x,center_y,center_z,support_radius,visibility,jacobian_nnz,affected_pixels,jacobian_norm,local_residual,raw_alignment,quadratic_score,novelty_ratio,orthogonalized_score,rank_increase,actual_gain_new_only,actual_gain_joint,relative_gain_joint,geometry_error_improvement
47,ordinary,4,0.9217316045758901,0.38740281519018077,0.018163367217499893,0.34,2,666,222,11.93379628895389,0.11747439897648532,0.0333795192970812,7.823532947000707e-06,0.9809567991006791,8.13023028837373e-06,True,3.906441496129287e-06,8.293328867854319e-06,0.0007062353728210258,1.2469147865209963e-06
48,ordinary,7,-0.8310839208244348,-0.5476582592137998,0.09679848997786578,0.34,2,402,134,4.985706994031992,0.0035852284570712985,0.005416829808335183,1.1804208654885802e-06,0.4225029885870257,6.604164111468649e-06,True,5.897437552401796e-07,5.4475198754434795e-06,0.00046389469071894457,1.1271784281155083e-06
49,ordinary,62,0.26671951704248126,0.5691642295143805,0.7777613895469015,0.34,3,606,202,12.938210165313206,0.03016963208161589,0.04448128951811858,1.1819696772290083e-05,0.4195826842098307,6.713841558495536e-05,True,5.909912588888261e-06,1.1056557447437776e-05,0.0009415437510593451,1.244148530395845e-06
50,ordinary,43,0.5609139940261578,-0.6551839009546676,-0.5060726699155444,0.34,1,108,36,0.026516299867591582,0.0037963026399530325,8.270796129038495e-05,9.72887473212457e-06,0.9896074084961133,9.937594773791348e-06,True,2.165688348855499e-06,5.323921630308315e-06,0.0004533694294970727,1.1116951189881776e-06
51,ordinary,63,0.9789989615112473,-0.10211974530770654,0.17644429993113508,0.34,2,384,128,3.282933099087727,0.02262390749202062,0.06964129353882187,0.00044999697349338565,0.8868416951361727,0.0005721598341297912,True,0.00022499580321498798,0.0001904004220994477,0.016213937157115787,-2.296606100867627e-05
52,ordinary,18,0.06464714992576588,-0.25836535481162176,-0.9638817818796765,0.34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.323889985817468e-06,0.00045336673474576745,1.1117632430859576e-06
53,ordinary,17,-0.993310828088557,-0.11518965216884439,0.00805871176094164,0.34,2,990,330,2.286974620526306,0.013402451387780996,0.010075536835348523,1.9409471009816524e-05,0.9928536992179539,1.968997493066722e-05,True,9.708509184075745e-06,5.783462045038171e-06,0.0004925025328979313,1.127942429196224e-06
54,ordinary,38,0.8724174945291708,0.2130233243125758,-0.43989632703429504,0.34,1,180,60,7.207707056838502,0.004530736948214323,0.002012265758840522,7.794287475552245e-08,0.39940940587824203,4.885846245898073e-07,True,3.897387648027495e-08,5.340481264742847e-06,0.0004547795990182625,1.1120947475108342e-06
55,ordinary,22,-0.9584519889542886,-0.20187357475346804,0.2015362118474595,0.34,2,1002,334,3.7675532192548813,0.005569164452189902,0.015159574034011677,1.6190311508402717e-05,0.9999794001630191,1.619111463428548e-05,True,8.09518803747411e-06,6.326389712678002e-06,0.0005387366482791135,1.1288382040905345e-06
56,ordinary,48,0.9995976390265562,0.014911359874456367,-0.024129057155829026,0.34,1,192,64,12.2483956296665,0.007228514666452289,0.08800610014629012,5.1625841168004996e-05,0.9960110111998306,5.204018826784802e-05,True,2.5812967212730104e-05,2.539399305763121e-05,0.002162477388782329,1.3060204262165085e-06
57,ordinary,55,0.25784708574466514,0.955897520822685,-0.14062293574672613,0.34,2,1011,337,5.880257291931623,0.009412457410734836,0.028904943276085296,2.416304064732801e-05,0.856659822207064,3.2925686131348204e-05,True,1.2081653112491764e-05,8.746559437276466e-06,0.0007448311484462302,1.1343428501529103e-06
58,ordinary,20,-0.15074433729515346,0.9882759891193067,0.024222182059035813,0.34,2,930,310,10.615586899058918,0.005122395400042017,0.003057822780445135,8.297296389877373e-08,0.89866955987405,1.0273997688865608e-07,True,4.1488354621602164e-08,5.352556268763825e-06,0.00045580787066918244,1.112192591416121e-06
59,ordinary,35,0.598422064901906,-0.7881950416821415,0.14366491745108223,0.34,1,349,118,5.51529964165346,0.004986196100343906,0.019589870042633052,1.2616093099498087e-05,0.8166753210642679,1.891733604398783e-05,True,6.308001769327748e-06,6.902659032265862e-06,0.0005878100401883562,1.1371239230710908e-06
60,ordinary,6,0.05897407126788873,-0.3856092199028043,-0.9207755364061541,0.34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.323889985817468e-06,0.00045336673474576745,1.1117632430859576e-06
61,ordinary,11,0.912301737194985,0.3775965075444157,-0.15851314709282804,0.34,2,348,116,2.3103528375276587,0.03990175587958059,0.08138020669032127,0.001240740490503906,0.8880791451967882,0.0015731768911410777,True,0.00062032669294931,0.000690716392053526,0.058819366315775126,-1.4445778093321682e-05
62,ordinary,23,0.3392979902164363,0.8336214775755008,-0.43583495265974914,0.34,2,444,148,0.7502564116108639,0.006172097032784666,0.0045584306612129165,3.691571354750094e-05,0.9361658189846468,4.2121702275646096e-05,True,1.8457494771268596e-05,5.419810408215792e-06,0.00046153503439395893,1.1124593128218792e-06
63,invisible_control,-1,0.4430546892988436,0.8930075945343042,-0.07899353387689922,0.14068230090230238,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.323889985817468e-06,0.00045336673474576745,1.1117632430859576e-06
